id,name,description,projectId,createdAt,updatedAt
fadd6de6-2330-4a4d-9f8e-c96c942a61b2,Authentication Module,"User login, registration, password reset",b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
dfd8501d-b1a7-4f99-8bf0-2e013664e674,Payment Processing,"Payment gateway integration, transactions",b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
c155f3af-a272-4d04-9515-d42acbba9e6b,Dashboard & Analytics,User dashboard with charts and reports,b0c40245-7c88-43f2-91f1-6cca8f6a01c8,Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:09:32 GMT+0545 (Nepal Time)
82c4ca61-465a-436a-b1f2-c208ae0bddff,Authentication,User login and security,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
c2cd82ad-32d7-4c19-b1f7-8c279a2299d2,Core Functionality,Main business logic,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
71a9296f-ce07-4346-aa4b-5d27059d506d,User Interface,Frontend and UX,9f8c6b6a-8e77-4546-905c-c3a2535fdc47,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
d9322172-fbc0-4410-ba10-53909836c6c1,Authentication,User login and security,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
36c30248-2d36-4c0e-bda1-fd6a25e6cacd,Core Functionality,Main business logic,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
819fc712-a063-4f68-8106-f391549b9344,User Interface,Frontend and UX,bf379b76-f968-4e3d-8f02-369615fe009c,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
3b381d28-5c5c-4fbd-8222-95d17eea9075,Authentication,User login and security,3e7d362d-1b8d-4ba8-b796-1364f5efcb74,Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time),Tue Dec 09 2025 01:15:50 GMT+0545 (Nepal Time)
